accuracy,checked_at,f1_score,model_name,precision,recall,roc_auc
0.7346,2026-06-20 13:48:07,0.7332,Random Forest,0.7389,0.7346,0.8006
0.7279,2026-06-20 13:47:29,0.7266,Logistic Regression,0.7321,0.7279,0.7938
